Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
"July 3, 2021",VOC,weighted,2,B.1.351,NA,0
"July 10, 2021",VOC,weighted,2,B.1.351,NA,0
"July 17, 2021",VOC,weighted,2,B.1.351,NA,0
"July 24, 2021",VOC,weighted,2,B.1.351,NA,0
"July 31, 2021",VOC,weighted,2,B.1.351,NA,0
"August 7, 2021",VOC,weighted,2,B.1.351,NA,0
"August 14, 2021",VOC,weighted,2,B.1.351,NA,0
"August 21, 2021",VOC,weighted,2,B.1.351,NA,0
"August 28, 2021",VOC,weighted,2,B.1.351,NA,0
"June 12, 2021",VOC,weighted,3,B.1.617.2,4.4-16.5%,0.087039515
"June 19, 2021",VOC,weighted,3,B.1.617.2,6.0-34.4%,0.154300138
"June 26, 2021",VOC,weighted,3,B.1.617.2,18.4-42.3%,0.288824677
"July 3, 2021",VOC,weighted,3,B.1.617.2,45.2-66.6%,0.561897874
"July 10, 2021",VOC,weighted,3,B.1.617.2,61.0-75.5%,0.686634660
"July 17, 2021",VOC,weighted,3,B.1.617.2,76.4-88.0%,0.829951048
"July 24, 2021",VOC,weighted,3,B.1.617.2,88.1-95.6%,0.926934481
"July 31, 2021",VOC,weighted,3,B.1.617.2,95.5-98.5%,0.973399758
"August 7, 2021",VOC,weighted,3,B.1.617.2,97.1-98.8%,0.981153369
"August 14, 2021",VOC,weighted,3,B.1.617.2,96.9-99.5%,0.987428248
"August 21, 2021",VOC,weighted,3,B.1.617.2,98.6-99.8%,0.995177329
"August 28, 2021",VOC,weighted,3,B.1.617.2,98.8-99.8%,0.995124757
"June 12, 2021",VOC,weighted,3,B.1.1.7,49.3-69.6%,0.598613620
"June 19, 2021",VOC,weighted,3,B.1.1.7,45.9-64.5%,0.554174960
"June 26, 2021",VOC,weighted,3,B.1.1.7,25.7-54.5%,0.391909361
"July 3, 2021",VOC,weighted,3,B.1.1.7,14.8-29.5%,0.212383300
"July 10, 2021",VOC,weighted,3,B.1.1.7,9.6-22.8%,0.150779605
"July 17, 2021",VOC,weighted,3,B.1.1.7,1.6-17.8%,0.056828588
"July 24, 2021",VOC,weighted,3,B.1.1.7,1.5-5.4%,0.028530026
"July 31, 2021",VOC,weighted,3,B.1.1.7,0.1-2.9%,0.005925350
"August 7, 2021",VOC,weighted,3,B.1.1.7,0.2-0.7%,0.003746393
"August 14, 2021",VOC,weighted,3,B.1.1.7,0.1-0.9%,0.002541726
"August 21, 2021",VOC,weighted,3,B.1.1.7,0.0-2.7%,0.003069069
"August 28, 2021",VOC,weighted,3,B.1.1.7,NA,0
"June 12, 2021",VOC,weighted,3,P.1,2.0-6.3%,0.035652187
"June 19, 2021",VOC,weighted,3,P.1,2.4-13.5%,0.058834922
"June 26, 2021",VOC,weighted,3,P.1,1.5-23.3%,0.063807957
"July 3, 2021",VOC,weighted,3,P.1,1.3-30.5%,0.069935776
"July 10, 2021",VOC,weighted,3,P.1,3.5-5.7%,0.044538196
"July 17, 2021",VOC,weighted,3,P.1,1.9-3.4%,0.025469193
"July 24, 2021",VOC,weighted,3,P.1,0.4-3.5%,0.011154681
"July 31, 2021",VOC,weighted,3,P.1,0.2-1.1%,0.004601243
"August 7, 2021",VOC,weighted,3,P.1,0.1-0.6%,0.001876996
"August 14, 2021",VOC,weighted,3,P.1,0.1-0.9%,0.003168859
"August 21, 2021",VOC,weighted,3,P.1,NA,0
"August 28, 2021",VOC,weighted,3,P.1,0.0-1.8%,0.002014531
"June 12, 2021",VOC,weighted,3,AY.2,NA,0
"June 19, 2021",VOC,weighted,3,AY.2,0.1-4.7%,0.005375218
"June 26, 2021",VOC,weighted,3,AY.2,NA,0
"July 3, 2021",VOC,weighted,3,AY.2,0.1-5.5%,0.005619154
"July 10, 2021",VOC,weighted,3,AY.2,0.5-2.8%,0.011881793
"July 17, 2021",VOC,weighted,3,AY.2,0.2-1.9%,0.006334557
"July 24, 2021",VOC,weighted,3,AY.2,0.0-1.2%,0.002209041
"July 31, 2021",VOC,weighted,3,AY.2,0.0-1.2%,0.000879518
"August 7, 2021",VOC,weighted,3,AY.2,0.0-1.6%,0.002700168
"August 14, 2021",VOC,weighted,3,AY.2,0.0-0.5%,0.000974455
"August 21, 2021",VOC,weighted,3,AY.2,NA,0
"August 28, 2021",VOC,weighted,3,AY.2,NA,0
"June 12, 2021",VOC,weighted,3,AY.1,NA,0
"June 19, 2021",VOC,weighted,3,AY.1,NA,0
"June 26, 2021",VOC,weighted,3,AY.1,NA,0
"July 3, 2021",VOC,weighted,3,AY.1,NA,0
"July 10, 2021",VOC,weighted,3,AY.1,NA,0
"July 17, 2021",VOC,weighted,3,AY.1,NA,0
"July 24, 2021",VOC,weighted,3,AY.1,0.0-1.0%,0.001620699
"July 31, 2021",VOC,weighted,3,AY.1,0.0-0.7%,0.001371398
"August 7, 2021",VOC,weighted,3,AY.1,0.0-0.7%,0.000309105
"August 14, 2021",VOC,weighted,3,AY.1,0.0-0.5%,0.001270863
"August 21, 2021",VOC,weighted,3,AY.1,0.0-0.6%,0.000682440
"August 28, 2021",VOC,weighted,3,AY.1,NA,0
"June 12, 2021",VOC,weighted,3,B.1.351,NA,0
"June 19, 2021",VOC,weighted,3,B.1.351,0.0-4.5%,0.001533108
"June 26, 2021",VOC,weighted,3,B.1.351,NA,0
"July 3, 2021",VOC,weighted,3,B.1.351,NA,0
"July 10, 2021",VOC,weighted,3,B.1.351,NA,0
"July 17, 2021",VOC,weighted,3,B.1.351,NA,0
"July 24, 2021",VOC,weighted,3,B.1.351,NA,0
"July 31, 2021",VOC,weighted,3,B.1.351,NA,0
"August 7, 2021",VOC,weighted,3,B.1.351,NA,0
"August 14, 2021",VOC,weighted,3,B.1.351,NA,0
"August 21, 2021",VOC,weighted,3,B.1.351,NA,0
"August 28, 2021",VOC,weighted,3,B.1.351,NA,0
"June 12, 2021",VOC,weighted,4,B.1.617.2,11.8-24.1%,0.170605510
"June 19, 2021",VOC,weighted,4,B.1.617.2,17.0-33.8%,0.244309604
"June 26, 2021",VOC,weighted,4,B.1.617.2,37.6-46.6%,0.420474231
"July 3, 2021",VOC,weighted,4,B.1.617.2,57.8-67.9%,0.629664719
"July 10, 2021",VOC,weighted,4,B.1.617.2,76.3-80.1%,0.782496870
"July 17, 2021",VOC,weighted,4,B.1.617.2,83.3-88.5%,0.861026645
"July 24, 2021",VOC,weighted,4,B.1.617.2,91.7-95.2%,0.936802447
"July 31, 2021",VOC,weighted,4,B.1.617.2,93.9-96.5%,0.953721404
"August 7, 2021",VOC,weighted,4,B.1.617.2,93.8-97.2%,0.958081007
"August 14, 2021",VOC,weighted,4,B.1.617.2,96.9-98.7%,0.979950488
"August 21, 2021",VOC,weighted,4,B.1.617.2,97.1-99.3%,0.985540032
"August 28, 2021",VOC,weighted,4,B.1.617.2,99.1-99.8%,0.995805383
"June 12, 2021",VOC,weighted,4,B.1.1.7,41.8-61.4%,0.516471922
"June 19, 2021",VOC,weighted,4,B.1.1.7,40.5-50.7%,0.455482543
"June 26, 2021",VOC,weighted,4,B.1.1.7,26.9-38.5%,0.323977172
"July 3, 2021",VOC,weighted,4,B.1.1.7,17.9-23.3%,0.204918265
"July 10, 2021",VOC,weighted,4,B.1.1.7,7.8-12.6%,0.099529594
"July 17, 2021",VOC,weighted,4,B.1.1.7,4.5-6.9%,0.055829372
"July 24, 2021",VOC,weighted,4,B.1.1.7,2.0-3.0%,0.024250807
"July 31, 2021",VOC,weighted,4,B.1.1.7,1.2-1.7%,0.014398008
"August 7, 2021",VOC,weighted,4,B.1.1.7,0.5-1.0%,0.007231912
"August 14, 2021",VOC,weighted,4,B.1.1.7,0.2-1.2%,0.005002321
"August 21, 2021",VOC,weighted,4,B.1.1.7,0.1-0.6%,0.001784843
"August 28, 2021",VOC,weighted,4,B.1.1.7,0.0-0.8%,0.001290545
"June 12, 2021",VOC,weighted,4,P.1,5.9-15.9%,0.098071381
"June 19, 2021",VOC,weighted,4,P.1,4.0-21.2%,0.095327735
"June 26, 2021",VOC,weighted,4,P.1,4.4-10.9%,0.069433495
"July 3, 2021",VOC,weighted,4,P.1,2.8-6.6%,0.043056794
"July 10, 2021",VOC,weighted,4,P.1,2.3-4.5%,0.032137964
"July 17, 2021",VOC,weighted,4,P.1,1.0-3.5%,0.018573655
"July 24, 2021",VOC,weighted,4,P.1,0.5-1.5%,0.008538282
"July 31, 2021",VOC,weighted,4,P.1,0.4-1.0%,0.006130727
"August 7, 2021",VOC,weighted,4,P.1,0.2-0.6%,0.003819843
"August 14, 2021",VOC,weighted,4,P.1,0.1-0.6%,0.001757709
"August 21, 2021",VOC,weighted,4,P.1,0.0-0.3%,0.000224050
"August 28, 2021",VOC,weighted,4,P.1,0.0-0.3%,0.000585631
"June 12, 2021",VOC,weighted,4,AY.2,0.0-1.6%,0.001038629
"June 19, 2021",VOC,weighted,4,AY.2,0.2-2.1%,0.007042805
"June 26, 2021",VOC,weighted,4,AY.2,0.2-0.8%,0.003540862
"July 3, 2021",VOC,weighted,4,AY.2,0.0-4.4%,0.002828277
"July 10, 2021",VOC,weighted,4,AY.2,0.0-1.7%,0.002432260
"July 17, 2021",VOC,weighted,4,AY.2,0.2-0.6%,0.003308662
"July 24, 2021",VOC,weighted,4,AY.2,0.2-0.4%,0.002428438
"July 31, 2021",VOC,weighted,4,AY.2,0.1-0.7%,0.002747621
"August 7, 2021",VOC,weighted,4,AY.2,0.1-0.2%,0.000993669
"August 14, 2021",VOC,weighted,4,AY.2,0.0-0.2%,0.000963746
"August 21, 2021",VOC,weighted,4,AY.2,0.0-0.1%,0.000353486
"August 28, 2021",VOC,weighted,4,AY.2,0.0-0.5%,0.000489378
"June 12, 2021",VOC,weighted,4,AY.1,NA,0
"June 19, 2021",VOC,weighted,4,AY.1,0.0-1.3%,0.000958157
"June 26, 2021",VOC,weighted,4,AY.1,NA,0
"July 3, 2021",VOC,weighted,4,AY.1,NA,0
"July 10, 2021",VOC,weighted,4,AY.1,0.0-0.6%,0.000331818
"July 17, 2021",VOC,weighted,4,AY.1,0.0-0.3%,0.000194516
"July 24, 2021",VOC,weighted,4,AY.1,0.0-0.2%,0.000148305
"July 31, 2021",VOC,weighted,4,AY.1,0.0-0.1%,4.760878801e-05
"August 7, 2021",VOC,weighted,4,AY.1,0.0-0.2%,0.000480442
"August 14, 2021",VOC,weighted,4,AY.1,0.0-0.2%,0.000166398
"August 21, 2021",VOC,weighted,4,AY.1,NA,0
"August 28, 2021",VOC,weighted,4,AY.1,0.0-1.0%,0.000754058
"June 12, 2021",VOC,weighted,4,B.1.351,0.0-1.6%,0.001038629
"June 19, 2021",VOC,weighted,4,B.1.351,0.0-0.6%,0.000479078
"June 26, 2021",VOC,weighted,4,B.1.351,NA,0
"July 3, 2021",VOC,weighted,4,B.1.351,0.0-0.5%,0.000337035
"July 10, 2021",VOC,weighted,4,B.1.351,NA,0
"July 17, 2021",VOC,weighted,4,B.1.351,0.0-0.1%,0.000663960
"July 24, 2021",VOC,weighted,4,B.1.351,0.0-0.0%,0.000125619
"July 31, 2021",VOC,weighted,4,B.1.351,NA,0
"August 7, 2021",VOC,weighted,4,B.1.351,NA,0
"August 14, 2021",VOC,weighted,4,B.1.351,NA,0
"August 21, 2021",VOC,weighted,4,B.1.351,NA,0
"August 28, 2021",VOC,weighted,4,B.1.351,NA,0
"June 12, 2021",VOC,weighted,5,B.1.617.2,11.3-28.5%,0.184078425
"June 19, 2021",VOC,weighted,5,B.1.617.2,16.0-46.7%,0.289729327
"June 26, 2021",VOC,weighted,5,B.1.617.2,23.3-69.4%,0.453829437
"July 3, 2021",VOC,weighted,5,B.1.617.2,54.5-72.6%,0.640742838
"July 10, 2021",VOC,weighted,5,B.1.617.2,74.1-90.6%,0.839617848
"July 17, 2021",VOC,weighted,5,B.1.617.2,82.0-92.3%,0.880548000
"July 24, 2021",VOC,weighted,5,B.1.617.2,90.6-96.2%,0.939779162
"July 31, 2021",VOC,weighted,5,B.1.617.2,94.4-98.1%,0.966860533
"August 7, 2021",VOC,weighted,5,B.1.617.2,96.1-98.0%,0.972159624
"August 14, 2021",VOC,weighted,5,B.1.617.2,98.3-99.6%,0.992078722
"August 21, 2021",VOC,weighted,5,B.1.617.2,97.4-99.5%,0.988728523
"August 28, 2021",VOC,weighted,5,B.1.617.2,97.7-100.0%,0.997309268
"June 12, 2021",VOC,weighted,5,B.1.1.7,50.5-68.0%,0.595890820
"June 19, 2021",VOC,weighted,5,B.1.1.7,34.2-70.0%,0.523964703
"June 26, 2021",VOC,weighted,5,B.1.1.7,20.6-57.5%,0.371834815
"July 3, 2021",VOC,weighted,5,B.1.1.7,14.2-30.2%,0.210949734
"July 10, 2021",VOC,weighted,5,B.1.1.7,3.6-15.1%,0.075549930
"July 17, 2021",VOC,weighted,5,B.1.1.7,2.1-8.8%,0.043890219
"July 24, 2021",VOC,weighted,5,B.1.1.7,0.4-4.8%,0.014141113
"July 31, 2021",VOC,weighted,5,B.1.1.7,0.4-1.7%,0.007728914
"August 7, 2021",VOC,weighted,5,B.1.1.7,0.1-3.1%,0.005323539
"August 14, 2021",VOC,weighted,5,B.1.1.7,0.0-0.7%,0.000436215
"August 21, 2021",VOC,weighted,5,B.1.1.7,NA,0
"August 28, 2021",VOC,weighted,5,B.1.1.7,NA,0
"June 12, 2021",VOC,weighted,5,P.1,6.2-18.3%,0.108848177
"June 19, 2021",VOC,weighted,5,P.1,1.5-21.4%,0.060320735
"June 26, 2021",VOC,weighted,5,P.1,2.8-11.2%,0.056717657
"July 3, 2021",VOC,weighted,5,P.1,2.1-8.2%,0.042456828
"July 10, 2021",VOC,weighted,5,P.1,0.4-10.3%,0.021706615
"July 17, 2021",VOC,weighted,5,P.1,1.1-6.7%,0.026915664
"July 24, 2021",VOC,weighted,5,P.1,0.1-1.3%,0.003606599
"July 31, 2021",VOC,weighted,5,P.1,0.5-1.6%,0.008518193
"August 7, 2021",VOC,weighted,5,P.1,0.0-0.6%,0.001136238
"August 14, 2021",VOC,weighted,5,P.1,0.0-0.9%,0.001182622
"August 21, 2021",VOC,weighted,5,P.1,0.0-0.9%,0.001935746
"August 28, 2021",VOC,weighted,5,P.1,0.0-1.2%,0.001288859
"June 12, 2021",VOC,weighted,5,AY.2,NA,0
"June 19, 2021",VOC,weighted,5,AY.2,0.1-13.1%,0.010920416
"June 26, 2021",VOC,weighted,5,AY.2,0.2-23.8%,0.026170842
"July 3, 2021",VOC,weighted,5,AY.2,0.2-10.1%,0.015852485
"July 10, 2021",VOC,weighted,5,AY.2,0.1-6.1%,0.007771502
"July 17, 2021",VOC,weighted,5,AY.2,0.0-2.6%,0.003629558
"July 24, 2021",VOC,weighted,5,AY.2,0.4-2.3%,0.010206035
"July 31, 2021",VOC,weighted,5,AY.2,0.0-1.1%,0.002140400
"August 7, 2021",VOC,weighted,5,AY.2,0.0-1.1%,0.002218252
"August 14, 2021",VOC,weighted,5,AY.2,0.0-0.7%,0.000592286
"August 21, 2021",VOC,weighted,5,AY.2,NA,0
"August 28, 2021",VOC,weighted,5,AY.2,NA,0
"June 12, 2021",VOC,weighted,5,AY.1,NA,0
"June 19, 2021",VOC,weighted,5,AY.1,NA,0
"June 26, 2021",VOC,weighted,5,AY.1,NA,0
"July 3, 2021",VOC,weighted,5,AY.1,NA,0
"July 10, 2021",VOC,weighted,5,AY.1,0.0-1.5%,0.001452465
"July 17, 2021",VOC,weighted,5,AY.1,NA,0
"July 24, 2021",VOC,weighted,5,AY.1,0.0-0.6%,0.000556055
"July 31, 2021",VOC,weighted,5,AY.1,NA,0
"August 7, 2021",VOC,weighted,5,AY.1,0.0-0.3%,0.000320417
"August 14, 2021",VOC,weighted,5,AY.1,NA,0
"August 21, 2021",VOC,weighted,5,AY.1,NA,0
"August 28, 2021",VOC,weighted,5,AY.1,NA,0
"June 12, 2021",VOC,weighted,5,B.1.351,0.1-2.7%,0.005077222
"June 19, 2021",VOC,weighted,5,B.1.351,0.0-6.7%,0.004120378
"June 26, 2021",VOC,weighted,5,B.1.351,NA,0
"July 3, 2021",VOC,weighted,5,B.1.351,NA,0
"July 10, 2021",VOC,weighted,5,B.1.351,NA,0
"July 17, 2021",VOC,weighted,5,B.1.351,NA,0
"July 24, 2021",VOC,weighted,5,B.1.351,NA,0
"July 31, 2021",VOC,weighted,5,B.1.351,NA,0
"August 7, 2021",VOC,weighted,5,B.1.351,NA,0
"August 14, 2021",VOC,weighted,5,B.1.351,NA,0
"August 21, 2021",VOC,weighted,5,B.1.351,NA,0
"August 28, 2021",VOC,weighted,5,B.1.351,NA,0
"June 12, 2021",VOC,weighted,6,B.1.617.2,9.2-65.8%,0.305619925
"June 19, 2021",VOC,weighted,6,B.1.617.2,19.5-62.2%,0.387102157
"June 26, 2021",VOC,weighted,6,B.1.617.2,38.1-69.6%,0.542409360
"July 3, 2021",VOC,weighted,6,B.1.617.2,57.4-80.3%,0.701201737
"July 10, 2021",VOC,weighted,6,B.1.617.2,69.1-89.4%,0.812687218
"July 17, 2021",VOC,weighted,6,B.1.617.2,78.3-88.5%,0.840305209
"July 24, 2021",VOC,weighted,6,B.1.617.2,89.0-96.3%,0.935337961
"July 31, 2021",VOC,weighted,6,B.1.617.2,93.7-98.0%,0.964189947
"August 7, 2021",VOC,weighted,6,B.1.617.2,93.7-95.5%,0.946820199
"August 14, 2021",VOC,weighted,6,B.1.617.2,97.7-98.8%,0.983605146
"August 21, 2021",VOC,weighted,6,B.1.617.2,98.1-98.9%,0.985146761
"August 28, 2021",VOC,weighted,6,B.1.617.2,98.8-99.7%,0.993725181
"June 12, 2021",VOC,weighted,6,B.1.1.7,28.6-62.1%,0.447487324
"June 19, 2021",VOC,weighted,6,B.1.1.7,24.9-55.9%,0.393610865
"June 26, 2021",VOC,weighted,6,B.1.1.7,16.2-44.7%,0.283711433
"July 3, 2021",VOC,weighted,6,B.1.1.7,8.5-26.9%,0.156075671
"July 10, 2021",VOC,weighted,6,B.1.1.7,5.6-13.8%,0.088658020
"July 17, 2021",VOC,weighted,6,B.1.1.7,3.4-7.8%,0.051431842
"July 24, 2021",VOC,weighted,6,B.1.1.7,1.3-3.7%,0.022279993
"July 31, 2021",VOC,weighted,6,B.1.1.7,0.8-2.0%,0.012355203
"August 7, 2021",VOC,weighted,6,B.1.1.7,0.4-3.6%,0.011601761
"August 14, 2021",VOC,weighted,6,B.1.1.7,0.1-1.0%,0.003343154
"August 21, 2021",VOC,weighted,6,B.1.1.7,0.0-0.1%,0.000541650
"August 28, 2021",VOC,weighted,6,B.1.1.7,0.0-2.4%,0.002475809
"June 12, 2021",VOC,weighted,6,P.1,3.3-16.2%,0.075622402
"June 19, 2021",VOC,weighted,6,P.1,1.8-9.5%,0.041580185
"June 26, 2021",VOC,weighted,6,P.1,2.1-6.6%,0.037296902
"July 3, 2021",VOC,weighted,6,P.1,2.5-6.0%,0.039372552
"July 10, 2021",VOC,weighted,6,P.1,0.7-5.7%,0.020651078
"July 17, 2021",VOC,weighted,6,P.1,0.8-5.3%,0.021095330
"July 24, 2021",VOC,weighted,6,P.1,0.4-1.6%,0.007860729
"July 31, 2021",VOC,weighted,6,P.1,0.1-1.2%,0.003792167
"August 7, 2021",VOC,weighted,6,P.1,0.2-0.8%,0.003611701
"August 14, 2021",VOC,weighted,6,P.1,0.1-0.5%,0.001834318
"August 21, 2021",VOC,weighted,6,P.1,0.1-0.5%,0.002314606
"August 28, 2021",VOC,weighted,6,P.1,0.0-0.2%,0.000759805
"June 12, 2021",VOC,weighted,6,AY.2,0.1-0.9%,0.002524736
"June 19, 2021",VOC,weighted,6,AY.2,0.2-2.6%,0.007126367
"June 26, 2021",VOC,weighted,6,AY.2,0.2-1.8%,0.005292326
"July 3, 2021",VOC,weighted,6,AY.2,0.2-1.2%,0.005200560
"July 10, 2021",VOC,weighted,6,AY.2,0.3-1.7%,0.007283997
"July 17, 2021",VOC,weighted,6,AY.2,0.2-1.5%,0.005016099
"July 24, 2021",VOC,weighted,6,AY.2,0.2-1.9%,0.006062366
"July 31, 2021",VOC,weighted,6,AY.2,0.1-0.6%,0.002849138
"August 7, 2021",VOC,weighted,6,AY.2,0.1-0.4%,0.001400899
"August 14, 2021",VOC,weighted,6,AY.2,0.1-0.4%,0.001467454
"August 21, 2021",VOC,weighted,6,AY.2,0.0-0.3%,0.000720359
"August 28, 2021",VOC,weighted,6,AY.2,NA,0
"June 12, 2021",VOC,weighted,6,AY.1,NA,0
"June 19, 2021",VOC,weighted,6,AY.1,0.0-0.3%,0.000890796
"June 26, 2021",VOC,weighted,6,AY.1,NA,0
"July 3, 2021",VOC,weighted,6,AY.1,NA,0
"July 10, 2021",VOC,weighted,6,AY.1,0.0-3.9%,0.001010777
"July 17, 2021",VOC,weighted,6,AY.1,NA,0
"July 24, 2021",VOC,weighted,6,AY.1,NA,0
"July 31, 2021",VOC,weighted,6,AY.1,NA,0
"August 7, 2021",VOC,weighted,6,AY.1,0.0-0.2%,0.000791973
"August 14, 2021",VOC,weighted,6,AY.1,0.0-0.1%,0.000366864
"August 21, 2021",VOC,weighted,6,AY.1,NA,0
"August 28, 2021",VOC,weighted,6,AY.1,NA,0
"June 12, 2021",VOC,weighted,6,B.1.351,NA,0
"June 19, 2021",VOC,weighted,6,B.1.351,NA,0
"June 26, 2021",VOC,weighted,6,B.1.351,NA,0
"July 3, 2021",VOC,weighted,6,B.1.351,NA,0
"July 10, 2021",VOC,weighted,6,B.1.351,NA,0
"July 17, 2021",VOC,weighted,6,B.1.351,0.0-0.2%,0.000479115
"July 24, 2021",VOC,weighted,6,B.1.351,NA,0
"July 31, 2021",VOC,weighted,6,B.1.351,NA,0
"August 7, 2021",VOC,weighted,6,B.1.351,NA,0
"August 14, 2021",VOC,weighted,6,B.1.351,NA,0
"August 21, 2021",VOC,weighted,6,B.1.351,NA,0
"August 28, 2021",VOC,weighted,6,B.1.351,NA,0
"June 12, 2021",VOC,weighted,7,B.1.617.2,46.7-87.3%,0.710754156
"June 19, 2021",VOC,weighted,7,B.1.617.2,37.1-95.4%,0.776772976
"June 26, 2021",VOC,weighted,7,B.1.617.2,57.9-97.3%,0.875081182
"July 3, 2021",VOC,weighted,7,B.1.617.2,58.4-99.3%,0.933241010
"July 10, 2021",VOC,weighted,7,B.1.617.2,93.2-97.2%,0.956332266
"July 17, 2021",VOC,weighted,7,B.1.617.2,87.6-99.1%,0.964802682
"July 24, 2021",VOC,weighted,7,B.1.617.2,95.0-98.8%,0.974867344
"July 31, 2021",VOC,weighted,7,B.1.617.2,94.3-99.0%,0.976457477
"August 7, 2021",VOC,weighted,7,B.1.617.2,93.9-98.6%,0.970477223
"August 14, 2021",VOC,weighted,7,B.1.617.2,98.1-99.4%,0.989571452
"August 21, 2021",VOC,weighted,7,B.1.617.2,95.8-99.7%,0.988418221
"August 28, 2021",VOC,weighted,7,B.1.617.2,NA,1
"June 12, 2021",VOC,weighted,7,B.1.1.7,10.9-34.8%,0.203545943
"June 19, 2021",VOC,weighted,7,B.1.1.7,3.1-51.3%,0.155056149
"June 26, 2021",VOC,weighted,7,B.1.1.7,2.4-19.0%,0.070088036
"July 3, 2021",VOC,weighted,7,B.1.1.7,0.6-35.3%,0.052656006
"July 10, 2021",VOC,weighted,7,B.1.1.7,0.6-2.4%,0.011436909
"July 17, 2021",VOC,weighted,7,B.1.1.7,0.3-10.9%,0.019606335
"July 24, 2021",VOC,weighted,7,B.1.1.7,0.2-5.4%,0.009485134
"July 31, 2021",VOC,weighted,7,B.1.1.7,0.1-1.1%,0.002736144
"August 7, 2021",VOC,weighted,7,B.1.1.7,0.0-3.5%,0.003875374
"August 14, 2021",VOC,weighted,7,B.1.1.7,NA,0
"August 21, 2021",VOC,weighted,7,B.1.1.7,NA,0
"August 28, 2021",VOC,weighted,7,B.1.1.7,NA,0
"June 12, 2021",VOC,weighted,7,P.1,0.8-33.5%,0.058261469
"June 19, 2021",VOC,weighted,7,P.1,0.7-16.8%,0.035795815
"June 26, 2021",VOC,weighted,7,P.1,0.1-56.1%,0.040693335
"July 3, 2021",VOC,weighted,7,P.1,0.0-0.9%,0.002013265
"July 10, 2021",VOC,weighted,7,P.1,0.1-15.2%,0.010840619
"July 17, 2021",VOC,weighted,7,P.1,0.0-0.6%,0.001286178
"July 24, 2021",VOC,weighted,7,P.1,NA,0
"July 31, 2021",VOC,weighted,7,P.1,0.1-3.3%,0.005347884
"August 7, 2021",VOC,weighted,7,P.1,0.0-0.8%,0.001170766
"August 14, 2021",VOC,weighted,7,P.1,NA,0
"August 21, 2021",VOC,weighted,7,P.1,NA,0
"August 28, 2021",VOC,weighted,7,P.1,NA,0
"June 12, 2021",VOC,weighted,7,AY.2,NA,0
"June 19, 2021",VOC,weighted,7,AY.2,NA,0
"June 26, 2021",VOC,weighted,7,AY.2,0.1-1.1%,0.002746680
"July 3, 2021",VOC,weighted,7,AY.2,NA,0
"July 10, 2021",VOC,weighted,7,AY.2,0.1-1.9%,0.004450782
"July 17, 2021",VOC,weighted,7,AY.2,0.0-0.6%,0.001286178
"July 24, 2021",VOC,weighted,7,AY.2,NA,0
"July 31, 2021",VOC,weighted,7,AY.2,NA,0
"August 7, 2021",VOC,weighted,7,AY.2,NA,0
"August 14, 2021",VOC,weighted,7,AY.2,0.1-1.0%,0.003185662
"August 21, 2021",VOC,weighted,7,AY.2,NA,0
"August 28, 2021",VOC,weighted,7,AY.2,NA,0
"June 12, 2021",VOC,weighted,7,AY.1,NA,0
"June 19, 2021",VOC,weighted,7,AY.1,NA,0
"June 26, 2021",VOC,weighted,7,AY.1,NA,0
"July 3, 2021",VOC,weighted,7,AY.1,NA,0
"July 10, 2021",VOC,weighted,7,AY.1,NA,0
"July 17, 2021",VOC,weighted,7,AY.1,NA,0
"July 24, 2021",VOC,weighted,7,AY.1,NA,0
"July 31, 2021",VOC,weighted,7,AY.1,NA,0
"August 7, 2021",VOC,weighted,7,AY.1,NA,0
"August 14, 2021",VOC,weighted,7,AY.1,0.0-11.4%,0.003445431
"August 21, 2021",VOC,weighted,7,AY.1,NA,0
"August 28, 2021",VOC,weighted,7,AY.1,NA,0
"June 12, 2021",VOC,weighted,7,B.1.351,NA,0
"June 19, 2021",VOC,weighted,7,B.1.351,NA,0
"June 26, 2021",VOC,weighted,7,B.1.351,NA,0
"July 3, 2021",VOC,weighted,7,B.1.351,NA,0
"July 10, 2021",VOC,weighted,7,B.1.351,NA,0
"July 17, 2021",VOC,weighted,7,B.1.351,NA,0
"July 24, 2021",VOC,weighted,7,B.1.351,NA,0
"July 31, 2021",VOC,weighted,7,B.1.351,NA,0
"August 7, 2021",VOC,weighted,7,B.1.351,NA,0
"August 14, 2021",VOC,weighted,7,B.1.351,NA,0
"August 21, 2021",VOC,weighted,7,B.1.351,NA,0
"August 28, 2021",VOC,weighted,7,B.1.351,NA,0
"June 12, 2021",VOC,weighted,8,B.1.617.2,40.8-67.3%,0.543461263
"June 19, 2021",VOC,weighted,8,B.1.617.2,43.4-79.8%,0.634881794
"June 26, 2021",VOC,weighted,8,B.1.617.2,64.8-87.6%,0.782642841
"July 3, 2021",VOC,weighted,8,B.1.617.2,80.3-88.8%,0.850538790
"July 10, 2021",VOC,weighted,8,B.1.617.2,83.2-90.4%,0.872232378
"July 17, 2021",VOC,weighted,8,B.1.617.2,89.4-94.4%,0.922889411
"July 24, 2021",VOC,weighted,8,B.1.617.2,93.7-96.4%,0.952490091
"July 31, 2021",VOC,weighted,8,B.1.617.2,94.7-97.1%,0.960861325
"August 7, 2021",VOC,weighted,8,B.1.617.2,96.5-98.3%,0.975970149
"August 14, 2021",VOC,weighted,8,B.1.617.2,90.5-99.5%,0.976863146
